code,suffix,name,sector,subsector
302440,KS,SK바이오사이언스,기초 의약물질 제조업,
326030,KS,SK바이오팜,자연과학 및 공학 연구개발업,
402340,KS,SK스퀘어,기타 금융업,
361610,KS,SK아이이테크놀로지,일차전지 및 이차전지 제조업,
100090,KS,SK오션플랜트,1차 철강 제조업,
096770,KS,SK이노베이션,석유 정제품 제조업,
096775,KS,SK이노베이션우,,
475150,KS,SK이터닉스,건물 건설업,
001510,KS,SK증권,금융 지원 서비스업,
285130,KS,SK케미칼,합성고무 및 플라스틱 물질 제조업,
017670,KS,SK텔레콤,전기 통신업,
000660,KS,SK하이닉스,반도체 제조업,
048550,KQ,SM C&C,광고업,
063440,KQ,SM Life Design,기록매체 복제업,
003570,KS,SNT다이내믹스,자동차 신품 부품 제조업,
064960,KS,SNT모티브,자동차 신품 부품 제조업,
100840,KS,SNT에너지,일반 목적용 기계 제조업,
036530,KS,SNT홀딩스,기타 금융업,
067160,KQ,SOOP,소프트웨어 개발 및 공급업,
000390,KS,SP삼화,기타 화학제품 제조업,
011810,KS,STX,상품 종합 도매업,
465770,KS,STX그린로지스,해상 운송업,
077970,KS,STX엔진,일반 목적용 기계 제조업,
002820,KS,SUN&L,플라스틱제품 제조업,
289080,KQ,SV인베스트먼트,기타 금융업,
002170,KS,SYTS,"가죽, 가방 및 유사제품 제조업",
041930,KQ,SY동아,고무제품 제조업,
084870,KS,TBH글로벌,봉제의복 제조업,
002710,KS,TCC스틸,1차 철강 제조업,
089230,KQ,THE E&M,기타 정보 서비스업,
032540,KQ,TJ미디어,영상 및 음향기기 제조업,
069260,KS,TKG휴켐스,기타 화학제품 제조업,
007980,KS,TP,봉제의복 제조업,
048770,KQ,TPC로보틱스,일반 목적용 기계 제조업,
246690,KQ,TS인베스트먼트,신탁업 및 집합투자업,
317240,KQ,TS트릴리온,기타 화학제품 제조업,
002900,KS,TYM,특수 목적용 기계 제조업,
024070,KS,WISCOM,플라스틱제품 제조업,
057030,KQ,YBM넷,교육지원 서비스업,
037270,KS,YG PLUS,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",
040300,KQ,YTN,"영화, 비디오물, 방송프로그램 제작 및 배급업",
051390,KQ,YW,상품 종합 도매업,
052220,KQ,iMBC,영상·오디오물 제공 서비스업,
139130,KS,iM금융지주,기타 금융업,
079940,KQ,가비아,소프트웨어 개발 및 공급업,
078890,KQ,가온그룹,통신 및 방송 장비 제조업,
000500,KS,가온전선,절연선 및 케이블 제조업,
399720,KQ,가온칩스,반도체 제조업,
036620,KQ,감성코퍼레이션,기타 전문 도매업,
000860,KS,강남제비스코,기타 화학제품 제조업,
198440,KQ,강동씨앤엘,"시멘트, 석회, 플라스터 및 그 제품 제조업",
217730,KQ,강스템바이오텍,기초 의약물질 제조업,
035250,KS,강원랜드,유원지 및 기타 오락관련 서비스업,
114190,KQ,강원에너지,기타 전기장비 제조업,
094480,KQ,갤럭시아머니트리,소프트웨어 개발 및 공급업,
011420,KS,갤럭시아에스엠,스포츠 서비스업,
039240,KQ,경남스틸,1차 철강 제조업,
053950,KQ,경남제약,의약품 제조업,
002100,KS,경농,"비료, 농약 및 살균, 살충제 제조업",
009450,KS,경동나비엔,가정용 기기 제조업,
267290,KS,경동도시가스,연료용 가스 제조 및 배관공급업,
012320,KS,경동인베스트,기타 금융업,
011040,KQ,경동제약,의약품 제조업,
000050,KS,경방,종합 소매업,
214390,KS,경보제약,기초 의약물질 제조업,
012610,KS,경인양행,기초 화학물질 제조업,
009140,KS,경인전자,전자부품 제조업,
024910,KQ,경창산업,자동차 신품 부품 제조업,
013580,KS,계룡건설,토목 건설업,
012200,KS,계양전기,일반 목적용 기계 제조업,
012205,KS,계양전기우,,
002140,KS,고려산업,"곡물가공품, 전분 및 전분제품 제조업",
049720,KQ,고려신용정보,기타 사업지원 서비스업,
010130,KS,고려아연,1차 비철금속 제조업,
002240,KS,고려제강,1차 철강 제조업,
014570,KQ,고려제약,의약품 제조업,
348150,KQ,고바이오랩,자연과학 및 공학 연구개발업,
950190,KQ,고스트스튜디오,소프트웨어 개발 및 공급업,
098460,KQ,고영,특수 목적용 기계 제조업,
035290,KQ,골드앤에스,"서적, 잡지 및 기타 인쇄물 출판업",
215000,KQ,골프존,소프트웨어 개발 및 공급업,
121440,KQ,골프존홀딩스,상품 중개업,
009290,KS,광동제약,의약품 제조업,
017040,KS,광명전기,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",
029480,KQ,광무,통신 및 방송 장비 제조업,
017900,KS,광전자,반도체 제조업,
037710,KS,광주신세계,종합 소매업,
026910,KQ,광진실업,1차 철강 제조업,
465320,KQ,교보15호스팩,금융 지원 서비스업,
482520,KQ,교보16호스팩,금융 지원 서비스업,
489210,KQ,교보17호스팩,금융 지원 서비스업,
030610,KS,교보증권,금융 지원 서비스업,
339770,KS,교촌에프앤비,음·식료품 및 담배 도매업,
053270,KQ,구영테크,자동차 신품 부품 제조업,
007690,KS,국도화학,기초 화학물질 제조업,
066620,KQ,국보디자인,실내건축 및 건축마무리 공사업,
043650,KQ,국순당,알코올음료 제조업,
006050,KQ,국영지앤엠,유리 및 유리제품 제조업,
060480,KQ,국일신동,1차 비철금속 제조업,
078130,KQ,국일제지,기타 종이 및 판지 제품 제조업,
307750,KQ,국전,의약품 제조업,
002720,KS,국제약품,의약품 제조업,
035080,KQ,그래디언트,무점포 소매업,
318060,KQ,그래피,합성고무 및 플라스틱 물질 제조업,
453450,KQ,그리드위즈,"그외 기타 전문, 과학 및 기술 서비스업",
204020,KQ,그리티,봉제의복 제조업,
402490,KQ,그린리소스,반도체 제조업,
114450,KQ,그린생명과학,기초 의약물질 제조업,
083420,KS,그린케미칼,기타 화학제품 제조업,
186230,KQ,그린플러스,1차 비철금속 제조업,
014530,KS,극동유화,석유 정제품 제조업,
900070,KQ,글로벌에스엠,기타 금융업,
204620,KQ,글로벌텍스프리,금융 지원 서비스업,
019660,KQ,글로본,상품 종합 도매업,
014280,KS,금강공업,1차 철강 제조업,
053260,KQ,금강철강,1차 철강 제조업,
008870,KS,금비,유리 및 유리제품 제조업,
001570,KS,금양,기초 화학물질 제조업,
282720,KQ,금양그린파워,전기 및 통신 공사업,
002990,KS,금호건설,건물 건설업,
002995,KS,금호건설우,,
011780,KS,금호석유화학,기초 화학물질 제조업,
011785,KS,금호석유화학우,,
214330,KS,금호에이치티,자동차 신품 부품 제조업,
001210,KS,금호전기,전구 및 조명장치 제조업,
073240,KS,금호타이어,고무제품 제조업,
036190,KQ,금화피에스시,전기 및 통신 공사업,
049080,KQ,기가레인,전자부품 제조업,
420770,KQ,기가비스,특수 목적용 기계 제조업,
035460,KQ,기산텔레콤,통신 및 방송 장비 제조업,
092440,KS,기신정기,특수 목적용 기계 제조업,
000270,KS,기아,자동차용 엔진 및 자동차 제조업,
024110,KS,기업은행,은행 및 저축기관,
013700,KS,까뮤이앤씨,건물 건설업,
004540,KS,깨끗한나라,"펄프, 종이 및 판지 제조업",
407400,KQ,꿈비,가구 제조업,
187790,KQ,나노,기초 화학물질 제조업,
121600,KQ,나노신소재,기타 화학제품 제조업,
286750,KQ,나노실리칸첨단소재,기초 화학물질 제조업,
247660,KQ,나노씨엠에스,전자부품 제조업,
039860,KQ,나노엔텍,의료용 기기 제조업,
417010,KQ,나노팀,일반 목적용 기계 제조업,
405920,KQ,나라셀라,음·식료품 및 담배 도매업,
478340,KQ,나라스페이스테크놀로지,"항공기,우주선 및 부품 제조업",
051490,KQ,나라엠앤디,특수 목적용 기계 제조업,
137080,KQ,나래나노텍,특수 목적용 기계 제조업,
190510,KQ,나무가,전자부품 제조업,
242040,KQ,나무기술,소프트웨어 개발 및 공급업,
293580,KQ,나우IB,기타 금융업,
459510,KQ,나우로보틱스,특수 목적용 기계 제조업,
138610,KQ,나이벡,의료용품 및 기타 의약 관련제품 제조업,
130580,KQ,나이스디앤비,기타 사업지원 서비스업,
036800,KQ,나이스정보통신,전기 통신업,
366030,KQ,나인앤컴퍼니,의복 액세서리 제조업,
267320,KQ,나인테크,특수 목적용 기계 제조업,
001260,KS,남광토건,토목 건설업,
008350,KS,남선알미늄,1차 비철금속 제조업,
008355,KS,남선알미우,,
004270,KS,남성,기타 전문 도매업,
003920,KS,남양유업,동·식물성 유지 및 낙농제품 제조업,
003925,KS,남양유업우,,
025860,KS,남해화학,"비료, 농약 및 살균, 살충제 제조업",
111710,KQ,남화산업,스포츠 서비스업,
091590,KQ,남화토건,건물 건설업,
168330,KQ,내츄럴엔도텍,자연과학 및 공학 연구개발업,
094860,KQ,네오리진,소프트웨어 개발 및 공급업,
253590,KQ,네오셈,특수 목적용 기계 제조업,
212560,KQ,네오오토,자동차 신품 부품 제조업,
095660,KQ,네오위즈,소프트웨어 개발 및 공급업,
042420,KQ,네오위즈홀딩스,소프트웨어 개발 및 공급업,
950220,KQ,네오이뮨텍,자연과학 및 공학 연구개발업,
311390,KQ,네오크레마,기타 식품 제조업,
085910,KQ,네오티스,자동차 신품 부품 제조업,
092730,KQ,네오팜,기타 화학제품 제조업,
153460,KQ,네이블,소프트웨어 개발 및 공급업,
007390,KQ,네이처셀,기초 의약물질 제조업,
033640,KQ,네패스,반도체 제조업,
330860,KQ,네패스아크,"그외 기타 전문, 과학 및 기술 서비스업",
351320,KQ,넥사다이내믹스,특수 목적용 기계 제조업,
005720,KS,넥센,고무제품 제조업,
005725,KS,넥센우,,
002350,KS,넥센타이어,고무제품 제조업,
002355,KS,넥센타이어1우B,,
089140,KQ,넥스턴앤롤코리아,특수 목적용 기계 제조업,
389650,KQ,넥스트바이오메디컬,의료용 기기 제조업,
137940,KQ,넥스트아이,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",
396270,KQ,넥스트칩,반도체 제조업,
348210,KQ,넥스틴,특수 목적용 기계 제조업,
092790,KS,넥스틸,1차 철강 제조업,
225570,KQ,넥슨게임즈,소프트웨어 개발 및 공급업,
205500,KQ,넥써쓰,소프트웨어 개발 및 공급업,
217270,KQ,넵튠,소프트웨어 개발 및 공급업,
251270,KS,넷마블,소프트웨어 개발 및 공급업,
104620,KQ,노랑풍선,여행사 및 기타 여행보조 서비스업,
090350,KS,노루페인트,기타 화학제품 제조업,
090355,KS,노루페인트우,,
000320,KS,노루홀딩스,기타 금융업,
000325,KS,노루홀딩스우,,
473980,KQ,노머스,창작 및 예술관련 서비스업,
194700,KQ,노바렉스,기타 식품 제조업,
285490,KQ,노바텍,그외 기타 제품 제조업,
145170,KQ,노브랜드,편조의복 제조업,
376930,KQ,노을,의료용 기기 제조업,
486990,KQ,노타,소프트웨어 개발 및 공급업,
006280,KS,녹십자,의약품 제조업,
142280,KQ,녹십자엠에스,의료용품 및 기타 의약 관련제품 제조업,
234690,KQ,녹십자웰빙,의약품 제조업,
005250,KS,녹십자홀딩스,회사 본부 및 경영 컨설팅 서비스업,
005257,KS,녹십자홀딩스2우,,
004370,KS,농심,기타 식품 제조업,
072710,KS,농심홀딩스,기타 금융업,
069140,KQ,누리플랜,"구조용 금속제품, 탱크 및 증기발생기 제조업",
040160,KQ,누리플렉스,소프트웨어 개발 및 공급업,
332290,KQ,누보,"비료, 농약 및 살균, 살충제 제조업",
348340,KQ,뉴로메카,특수 목적용 기계 제조업,
380550,KQ,뉴로핏,소프트웨어 개발 및 공급업,
060260,KQ,뉴보텍,플라스틱제품 제조업,
463020,KQ,뉴엔AI,소프트웨어 개발 및 공급업,
123840,KQ,뉴온,기타 식품 제조업,
012340,KQ,뉴인텍,자동차 신품 부품 제조업,
462310,KQ,뉴키즈온,봉제의복 제조업,
270870,KQ,뉴트리,기타 식품 제조업,
144960,KQ,뉴파워프라즈마,특수 목적용 기계 제조업,
085670,KQ,뉴프렉스,전자부품 제조업,
064260,KQ,다날,소프트웨어 개발 및 공급업,
340360,KQ,다보링크,통신 및 방송 장비 제조업,
039560,KQ,다산네트웍스,통신 및 방송 장비 제조업,
208860,KQ,다산디엠씨,소프트웨어 개발 및 공급업,
154040,KQ,다산솔루에타,전자부품 제조업,
058730,KS,다스코,"구조용 금속제품, 탱크 및 증기발생기 제조업",
030210,KS,다올투자증권,금융 지원 서비스업,
023590,KS,다우기술,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",
032190,KQ,다우데이타,기계장비 및 관련 물품 도매업,
323350,KQ,다원넥스뷰,특수 목적용 기계 제조업,
068240,KQ,다원시스,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",
145210,KS,다이나믹디자인,특수 목적용 기계 제조업,
290660,KQ,다이나믹솔루션,의료용 기기 제조업,
483650,KS,달바글로벌,기타 화학제품 제조업,
464580,KQ,닷밀,"영화, 비디오물, 방송프로그램 제작 및 배급업",
019680,KS,대교,초등 교육기관,
019685,KS,대교우B,,
006370,KS,대구백화점,종합 소매업,
008060,KS,대덕,기타 금융업,
353200,KS,대덕전자,전자부품 제조업,
000490,KS,대동,특수 목적용 기계 제조업,
020400,KQ,대동금속,금속 주조업,
008830,KQ,대동기어,특수 목적용 기계 제조업,
048470,KQ,대동스틸,기타 전문 도매업,
004780,KQ,대륙제관,기타 금속 가공제품 제조업,
005750,KS,대림바스,"내화, 비내화 요업제품 제조업",
017650,KQ,대림제지,기타 종이 및 판지 제품 제조업,
006570,KS,대림통상,기타 금속 가공제품 제조업,
389260,KQ,대명에너지,건물 건설업,
317850,KQ,대모,특수 목적용 기계 제조업,
290670,KQ,대보마그네틱,기타 전기장비 제조업,
078140,KQ,대봉엘에스,의약품 제조업,
001680,KS,대상,기타 식품 제조업,
001685,KS,대상우,,
084690,KS,대상홀딩스,기타 금융업,
084695,KS,대상홀딩스우,,
036480,KQ,대성미생물,의약품 제조업,
128820,KS,대성산업,연료 소매업,
117580,KS,대성에너지,연료용 가스 제조 및 배관공급업,
027830,KQ,대성창투,신탁업 및 집합투자업,
129920,KQ,대성하이텍,특수 목적용 기계 제조업,
